student_id,student_name,student_email,course_id,course_name,course_load,course_submission_count,course_late_ratio,early_avg_grade,early_submission_count,early_late_ratio,active_weeks_early,early_grade_stddev,early_grade_trend,avg_delay_hours,submissions_last_14d,submissions_last_30d,assignment_completion_ratio,course_final_avg,is_at_risk
5,Nguyễn Văn An,student100@example.com,1,Khóa học JavaScript,99,23,0.5652173913043478,6.207142857142856,14,0.5,7,0.3712224702910366,-2.655936219882791e-07,50.357142857142854,4,6,0.7666666666666667,5.699999999999998,0
5,Nguyễn Văn An,student100@example.com,2,Khóa học Java,99,25,0.56,6.34,15,0.5333333333333333,5,0.5339163480046912,-2.4319202347395403e-07,51.333333333333336,1,6,0.8333333333333334,5.82,0
5,Nguyễn Văn An,student100@example.com,3,Khóa học Python,99,27,0.48148148148148145,6.1764705882352935,17,0.5882352941176471,6,0.6053967214244046,-4.98397923892863e-07,63.470588235294116,1,7,0.9,5.766666666666667,0
5,Nguyễn Văn An,student100@example.com,4,Khóa học C++,99,24,0.625,6.246666666666666,15,0.7333333333333333,7,0.5389702115042059,-2.9778659104981844e-07,71.26666666666667,3,7,0.8,5.687499999999999,0
6,Trần Thị Bích,student101@example.com,1,Khóa học JavaScript,85,25,0.36,4.446666666666667,15,0.4666666666666667,6,0.7847434117099823,-5.905080689547202e-07,64.66666666666667,1,6,0.8333333333333334,3.4120000000000004,1
6,Trần Thị Bích,student101@example.com,2,Khóa học Java,85,22,0.3181818181818182,4.064285714285714,14,0.2857142857142857,5,1.0202290659154811,-6.41256765042378e-07,21.928571428571427,3,7,0.7333333333333333,3.0863636363636364,1
6,Trần Thị Bích,student101@example.com,3,Khóa học Python,85,20,0.35,4.366666666666667,12,0.3333333333333333,6,0.7728015412913087,-5.737868781483755e-07,27.333333333333332,2,3,0.6666666666666666,3.5550000000000006,1
6,Trần Thị Bích,student101@example.com,4,Khóa học C++,85,18,0.3888888888888889,4.445454545454544,11,0.36363636363636365,4,0.6932973078159129,-5.176652180278568e-07,51.63636363636363,1,7,0.6,3.383333333333333,1
7,Lê Văn Cường,student102@example.com,1,Khóa học JavaScript,104,27,0.37037037037037035,6.147058823529413,17,0.35294117647058826,7,0.5018995060635666,-3.2872832943433545e-07,31.88235294117647,1,7,0.9,5.637037037037039,0
7,Lê Văn Cường,student102@example.com,2,Khóa học Java,104,24,0.625,6.260000000000001,15,0.6,5,0.43328204824725136,-2.853333990086335e-07,60.46666666666667,3,8,0.8,5.733333333333333,0
7,Lê Văn Cường,student102@example.com,3,Khóa học Python,104,25,0.56,6.286666666666665,15,0.5333333333333333,6,0.4814792022738073,-3.23519210765605e-07,59.6,1,7,0.8333333333333334,5.691999999999999,0
7,Lê Văn Cường,student102@example.com,4,Khóa học C++,104,28,0.6428571428571429,6.182352941176471,17,0.6470588235294118,6,0.5360369764656245,-3.536489408437418e-07,67.82352941176471,4,9,0.9333333333333333,5.6642857142857155,0
8,Phạm Thị Dung,student103@example.com,1,Khóa học JavaScript,72,12,0.4166666666666667,4.575,8,0.5,6,0.4710360920354195,-3.4856663424292335e-07,61.875,0,2,0.4,3.525,1
8,Phạm Thị Dung,student103@example.com,2,Khóa học Java,72,20,0.6,4.45,12,0.5833333333333334,6,0.55,-3.064821591104717e-07,66.66666666666667,1,6,0.6666666666666666,3.28,1
8,Phạm Thị Dung,student103@example.com,3,Khóa học Python,72,17,0.5882352941176471,4.445454545454545,11,0.5454545454545454,6,0.9726847909160186,-6.426013183788342e-07,74.45454545454545,1,4,0.5666666666666667,3.4941176470588236,1
8,Phạm Thị Dung,student103@example.com,4,Khóa học C++,72,23,0.5652173913043478,4.621428571428572,14,0.42857142857142855,5,0.4901582418370789,-3.487831197752162e-07,55.07142857142857,2,7,0.7666666666666667,3.5043478260869567,1
9,Hoàng Văn Dũng,student104@example.com,1,Khóa học JavaScript,95,24,0.75,6.099999999999998,15,0.6,7,0.554977477020464,-3.0176406254385586e-07,81.6,2,9,0.8,5.624999999999999,0
9,Hoàng Văn Dũng,student104@example.com,2,Khóa học Java,95,24,0.6666666666666666,6.086666666666667,15,0.8,6,0.42874493842169414,-2.5366193625672525e-07,81.86666666666666,1,8,0.8,5.662499999999999,0
9,Hoàng Văn Dũng,student104@example.com,3,Khóa học Python,95,23,0.6521739130434783,6.221428571428571,14,0.5714285714285714,7,0.45540966083700213,-2.396975061312219e-07,64.92857142857143,2,8,0.7666666666666667,5.713043478260869,0
