student_id,student_name,student_email,course_id,course_name,avg_grade,course_final_avg,submission_count,late_submission_ratio,risk_probability,risk_bucket
50,Nguyễn Thị Phượng,student145@example.com,1,Khóa học JavaScript,3.317647058823529,3.317647058823529,17,0.23529411764705882,0.9159153761430622,Cao
20,Phan Thị Oanh,student115@example.com,2,Khóa học Java,3.18,3.18,15,0.4666666666666667,0.9148940058588887,Cao
65,Phan Văn Tùng,student160@example.com,1,Khóa học JavaScript,3.55,3.55,18,0.2777777777777778,0.8964273711370808,Cao
92,Phan Thị Phương,student187@example.com,4,Khóa học C++,3.3,3.3,15,0.26666666666666666,0.8921209492431044,Cao
36,Hoàng Thị Hạnh,student131@example.com,3,Khóa học Python,3.7666666666666666,3.7666666666666666,18,0.1111111111111111,0.8914260678020646,Cao
86,Nguyễn Thị Loan,student181@example.com,4,Khóa học C++,3.4850000000000003,3.4850000000000003,20,0.25,0.8814519956986211,Cao
82,Bùi Thị Hương,student177@example.com,4,Khóa học C++,3.594736842105264,3.594736842105264,19,0.21052631578947367,0.8805428946824544,Cao
75,Đặng Văn Đức,student170@example.com,1,Khóa học JavaScript,3.3699999999999997,3.3699999999999997,20,0.25,0.8799707375871354,Cao
20,Phan Thị Oanh,student115@example.com,4,Khóa học C++,3.2058823529411766,3.2058823529411766,17,0.35294117647058826,0.876543702222451,Cao
43,Lê Văn Lộc,student138@example.com,2,Khóa học Java,3.1333333333333333,3.1333333333333333,15,0.26666666666666666,0.8702797511815406,Cao
96,Trần Thị Thanh,student191@example.com,2,Khóa học Java,3.4000000000000004,3.4000000000000004,19,0.10526315789473684,0.8688453379121646,Cao
36,Hoàng Thị Hạnh,student131@example.com,4,Khóa học C++,3.047058823529412,3.047058823529412,17,0.35294117647058826,0.8662067764833123,Cao
34,Lê Thị Vân,student129@example.com,3,Khóa học Python,3.344444444444443,3.344444444444443,18,0.3333333333333333,0.8623914020200409,Cao
64,Bùi Thị Tâm,student159@example.com,3,Khóa học Python,3.6812500000000004,3.6812500000000004,16,0.25,0.8623294587860052,Cao
40,Vũ Thị Kim,student135@example.com,4,Khóa học C++,3.755555555555555,3.755555555555555,18,0.3333333333333333,0.8621348287220643,Cao
93,Đặng Văn Quý,student188@example.com,3,Khóa học Python,3.28421052631579,3.28421052631579,19,0.42105263157894735,0.8597495709862634,Cao
87,Trần Văn Minh,student182@example.com,3,Khóa học Python,3.725,3.725,20,0.1,0.8585497222095636,Cao
6,Trần Thị Bích,student101@example.com,4,Khóa học C++,3.383333333333333,3.383333333333333,18,0.3888888888888889,0.8577997696943512,Cao
38,Phan Thị Hiền,student133@example.com,4,Khóa học C++,3.419999999999999,3.419999999999999,20,0.2,0.8561063706638168,Cao
89,Phạm Văn Nam,student184@example.com,4,Khóa học C++,3.168421052631578,3.168421052631578,19,0.3684210526315789,0.8555892983392782,Cao
56,Phan Thị Thanh,student151@example.com,3,Khóa học Python,3.7722222222222226,3.7722222222222226,18,0.3888888888888889,0.8527915413515335,Cao
56,Phan Thị Thanh,student151@example.com,4,Khóa học C++,3.5499999999999994,3.5499999999999994,18,0.3888888888888889,0.8517751495923789,Cao
78,Trần Thị Hằng,student173@example.com,3,Khóa học Python,3.3437499999999996,3.3437499999999996,16,0.375,0.850799163637043,Cao
6,Trần Thị Bích,student101@example.com,2,Khóa học Java,3.0863636363636364,3.0863636363636364,22,0.3181818181818182,0.8505441184724166,Cao
72,Hoàng Thị Châu,student167@example.com,1,Khóa học JavaScript,3.119047619047619,3.119047619047619,21,0.19047619047619047,0.8491206122532627,Cao
